ElectDist,Shape_Leng,Shape_Area,coun_dist
"57096",2619.45383605000,311924.72032000002,"35"
"57097",1419.68529371000,124638.50524200000,"35"
"57099",4341.22656482000,716799.24403900001,"36"
"57100",4825.69906819000,1045956.84444999998,"36"
"57101",3130.21277192000,553530.52105900005,"36"
"57102",2746.68666127000,464747.20864099998,"33"
"57103",3217.62810194000,590728.48565399996,"35"
"57104",4765.16064972000,732786.28151899995,"35"
"57105",2642.04023522000,436415.38577599998,"35"
"57106",1282.98669473000,59788.76580370000,"35"
"58001",4548.95339868000,1020313.13459999999,"41"
"58002",5199.37765354000,1116854.41665000003,"41"
"58003",2600.59392763000,405583.35035399999,"41"
"58004",4688.73293290000,845605.19296200003,"41"
"58005",3655.38016658000,824982.57520800002,"41"
"58006",4277.18905560000,700711.20681600005,"41"
"58007",4381.07391012000,618532.89403600001,"41"
"58008",5245.95734545000,981391.77973499999,"41"
"58009",4726.17636201000,849817.16750900005,"41"
"58010",5576.68155763000,1030578.25464000006,"41"
"58011",3892.44754180000,628298.57849300001,"41"
"58012",5118.56402771000,1016215.21621999994,"41"
"58013",4165.13360900000,687231.35853199998,"41"
"58014",4147.64476928000,825766.46623699996,"41"
"58015",4032.76866236000,926379.78504100000,"41"
"58016",6917.70310698000,1116927.46741000004,"45"
"58017",4165.57023668000,828138.63973299996,"45"
"58018",4250.03343108000,563965.05323299998,"45"
"58019",3249.19353029000,371949.54696800001,"45"
"58020",5750.12110817000,995196.96808200004,"45"
"58021",4464.53864267000,690226.11894099996,"45"
"58022",3850.15537897000,914323.93346199999,"45"
"58023",10527.12523240000,4906860.89575000014,"45"
"58024",5040.71793657000,927690.63940099999,"45"
"58025",5049.41845132000,1118437.91859999998,"45"
"58026",4929.01764348000,870033.84875200002,"45"
"58028",5491.64350392000,1570871.79156000004,"45"
"58029",4965.61640842000,1346661.18625000003,"45"
"58030",4390.33781223000,1146735.19855000009,"45"
"58031",4449.74020010000,898709.09076799999,"45"
"58032",5240.82335820000,1667640.91726000002,"45"
"58033",4386.92185525000,1123722.59378000000,"45"
"58034",4686.99775995000,1040294.53223999997,"45"
"58035",5855.07001394000,1150910.61636999995,"45"
"58036",3002.29612926000,573821.36280300003,"41"
"58037",4950.46819091000,1115126.10220000008,"45"
"58038",11111.92742510000,3672933.62174999993,"45"
"58039",5233.61613490000,1684193.41842000000,"45"
"58040",3275.83521047000,664201.54062600003,"41"
"58041",4528.43633150000,1049793.29777000006,"45"
"58042",3253.27142864000,563103.24177099997,"45"
"58043",5039.75850868000,955871.64081899996,"45"
"58044",3220.67781045000,522791.37973400002,"45"
"58045",4666.00561256000,936337.06223200005,"41"
"58046",4213.42460250000,1108537.07710999995,"41"
"58047",3555.38370433000,783955.20207200001,"41"
"58048",3965.73869533000,791960.33752199996,"41"
"58049",4750.45037542000,995886.90210800001,"45"
"58050",8841.56670612000,2572903.04741000012,"45"
"58051",3044.59093862000,469413.84207600000,"46"
"58052",3407.34441616000,725221.29535499995,"42"
"58053",1906.98349750000,153421.01928300000,"42"
"58054",3315.40942137000,657851.16260399995,"42"
"58055",4387.41991262000,991049.57826099999,"42"
"58056",4466.26568713000,892120.61047700001,"42"
"58057",3975.93512050000,928335.03538500005,"46"
"58058",6310.80281871000,1779553.14580000006,"42"
"58059",5859.54744845000,1270511.57502999995,"46"
"58060",5206.38790771000,1628537.22885000007,"46"
"58061",4538.49738874000,1223518.59303000011,"42"
"58062",6535.44025972000,1728925.94264000002,"42"
"58063",7033.21526240000,1525017.58067000005,"42"
"58064",5135.12782067000,1671388.53698999994,"42"
"58065",5637.09976586000,1138650.11164000002,"46"
"58066",5407.25200987000,1124357.71344000008,"42"
"58067",3431.97822067000,464447.20276999997,"42"
"58068",1684.95584009000,154820.52532600000,"42"
"58069",5246.35048923000,1283622.88898999989,"42"
"58070",5899.62014683000,1384951.18589999992,"46"
"58071",4846.73195477000,1279227.55339000002,"46"
"58072",9038.84034004000,2979192.40681000007,"42"
"58073",2510.94633847000,386691.62605700002,"42"
"58074",4187.69482159000,811582.43301000004,"46"
"58075",4721.95143093000,834589.23601999995,"46"
"58076",4211.38149708000,1038964.15200000000,"46"
"58077",4723.63607930000,1230034.58866999997,"46"
"58078",4728.51613624000,1030762.84803999995,"46"
"58079",5860.25669607000,1473676.26913999999,"46"
"58080",4949.59281183000,877424.44685099996,"45"
"58081",2460.80471575000,281077.52024799999,"45"
"58082",4717.12348496000,1045022.83236000000,"46"
"58083",4460.03731242000,667574.65504999994,"45"
"58084",4678.28977902000,810813.49681899999,"41"
"58085",3300.02047026000,583794.79805099999,"41"
"58086",4391.17271931000,931674.87703700003,"45"
"59001",3313.96102536000,683426.72383899998,"46"
"59002",3139.17509130000,237789.39478800001,"45"
"59003",2514.60328953000,327407.36964400002,"45"
"59004",3603.28742397000,585677.47580400005,"45"
"59005",4104.83522905000,945252.91113899997,"46"
"59006",3722.09461735000,846855.08233400004,"46"
"59007",4912.23923917000,855844.66271099995,"46"
"59008",5255.41402785000,1214178.07612000010,"46"
