"KRONOS_BADGE_NUMBER","EMPLOYEE_ID","BOROUGH_NAME","DEPARTMENT_NAME","WORK_LOC_ID","LOCATION_NAME","NYC_TITLE"
384210,1620332,BROOKLYN,Brooklyn Property Management Department,"0670",Bay View,Maintenance Worker
384212,1854836,BROOKLYN,Brooklyn Property Management Department,"0202",Red Hook East,Maintenance Worker
384213,1487204,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
384224,1855233,QUEENS,Queens-SI Property Mgmt Dept,"0374",QN/SI Neighborhood 01,Carpenter
384227,1855084,QUEENS,Queens-SI Property Mgmt Dept,"0374",QN/SI Neighborhood 01,Plumber's Helper
384229,1855294,MANHATTAN,Manhattan Property Management Department,"0387",Wise Towers Group,Caretaker
384230,302709,MANHATTAN,Manhattan Property Management Department,"0402",Manhattan Neighborhood 02,Carpenter
384231,1855740,BRONX,Bronx Property Management Department,"0313",Eastchester Gardens,Caretaker
384253,1856723,BROOKLYN,Brooklyn Property Management Department,"0235",Pink Houses,Caretaker
384250,1856048,QUEENS,Queens-SI Property Mgmt Dept,"0376",QN/SI Neighborhood 02,Carpenter
384251,1856376,QUEENS,Queens-SI Property Mgmt Dept,"0379",QN/SI Neighborhood 04,Carpenter
384255,1856686,BROOKLYN,Brooklyn Property Management Department,"0761",Belmont-Sutter,Caretaker
384262,1014955,BROOKLYN,Brooklyn Property Management Department,"0353",Borinquen Plaza,Caretaker
384277,1599948,BRONX,Bronx Property Management Department,"0385",Morrisania Consolidation,Caretaker
384279,1094972,BRONX,Bronx Property Management Department,"0537",Soundview,Caretaker
384290,1646252,QUEENS,Queens-SI Property Mgmt Dept,"0517",Astoria,Caretaker
384292,1336761,QUEENS,Queens-SI Property Mgmt Dept,"0517",Astoria,Caretaker
384305,1521712,BROOKLYN,Brooklyn Property Management Department,"0680",Hylan,Housing Assistant
384312,1857952,QUEENS,Queens-SI Property Mgmt Dept,"0122",Queens-Staten Island Borough Management,Plumber's Helper
384306,1858221,QUEENS,Queens-SI Property Mgmt Dept,"0378",QN/SI Neighborhood 03,Carpenter
384309,901118,BRONX,Bronx Property Management Department,"0248",Adams Houses,Caretaker
384315,1357263,QUEENS,Queens-SI Property Mgmt Dept,"0376",QN/SI Neighborhood 02,Carpenter
384323,1858005,QUEENS,Queens-SI Property Mgmt Dept,"0376",QN/SI Neighborhood 02,Plasterer
384329,1827049,BRONX,Bronx Property Management Department,"0218",Throggs Neck Houses,Caretaker
384353,1860153,QUEENS,Queens-SI Property Mgmt Dept,"0843",Queensbridge South,Caretaker
384352,1090231,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
384355,1858992,QUEENS,Queens-SI Property Mgmt Dept,"0290",Latimer Gardens Consolidation,Caretaker
384356,1538839,BROOKLYN,Brooklyn Property Management Department,"0393",Brooklyn Neighborhood 03,City Pest Control Aide
384358,1354782,BROOKLYN,Brooklyn Property Management Department,"0515",Gowanus Houses,Caretaker
384363,1005903,MANHATTAN,Manhattan Property Management Department,"0211",Saint Nicholas Houses,Caretaker
384266,1694265,BRONX,Bronx Property Management Department,"0239",Morris Houses,Housing Assistant
384293,1858952,BROOKLYN,Brooklyn Property Management Department,"0670",Bay View,Caretaker
384273,1540629,MANHATTAN,Manhattan Property Management Department,"0210",Riis Houses,Caretaker
384275,1139445,BRONX,Bronx Property Management Department,"0435",Butler,Caretaker
384289,1858184,BROOKLYN,Brooklyn Property Management Department,"0278",Surfside Gardens Consolidation,Caretaker
384310,1648607,MANHATTAN,Manhattan Property Management Department,"0569",Douglass Houses,Caretaker
384313,1492329,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
384316,1495020,BRONX,Bronx Property Management Department,"0533",Bronx River Houses,Caretaker
384318,1858155,MANHATTAN,Manhattan Property Management Department,"0215",Baruch,Caretaker
384319,1461172,BRONX,Bronx Property Management Department,"0537",Soundview,Caretaker
384333,1113984,BRONX,Bronx Property Management Department,"0385",Morrisania Consolidation,Caretaker
384328,1858177,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,Plumber's Helper
384331,1859807,BROOKLYN,Brooklyn Property Management Department,"0765",Park Rock Consolidated,Caretaker
384332,1836527,MANHATTAN,Manhattan Property Management Department,"0237",Gompers Consolidation,Caretaker
384337,1751996,BROOKLYN,Brooklyn Property Management Department,"0227",Roosevelt,Caretaker
384338,1858927,QUEENS,Queens-SI Property Mgmt Dept,"0376",QN/SI Neighborhood 02,Carpenter
384351,1861564,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
384359,1615091,BRONX,Bronx Property Management Department,"0753",Union Avenue Consolidated,Caretaker
384366,1861142,MANHATTAN,Manhattan Property Management Department,"0569",Douglass Houses,Caretaker
384368,1205012,MANHATTAN,Manhattan Property Management Department,"0261",Taft Houses,Housing Assistant
384369,1555011,BRONX,Bronx Property Management Department,"0753",Union Avenue Consolidated,Caretaker
384364,1859146,MANHATTAN,Manhattan Property Management Department,"0530",Amsterdam-Harborview Terrace,Clerical Associate
384365,1448897,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,Caretaker
384367,1861565,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
384370,1695815,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,Carpenter
384373,1860452,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,Maintenance Worker
384375,1860850,BRONX,Bronx Property Management Department,"0537",Soundview,Maintenance Worker
384379,1860450,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,Maintenance Worker
384386,1041332,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,Caretaker
384391,1742757,BRONX,Bronx Property Management Department,"0248",Adams Houses,Caretaker
384413,1396613,BROOKLYN,Brooklyn Property Management Department,"0353",Borinquen Plaza,Caretaker
384414,1827305,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Caretaker
384427,1612411,BROOKLYN,Brooklyn Property Management Department,"0512",Brownsville,Caretaker
384415,1340704,MANHATTAN,Manhattan Property Management Department,"0373",Dyckman Houses,Caretaker
384416,1490731,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Caretaker
384418,1862864,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,Plasterer
384434,1100681,MANHATTAN,Manhattan Property Management Department,"0511",Wald Houses,Caretaker
384435,1861667,QUEENS,Queens-SI Property Mgmt Dept,"0122",Queens-Staten Island Borough Management,Roofer
384443,1647563,BROOKLYN,Brooklyn Property Management Department,"0276",Low Consolidation,Caretaker
384473,995709,BRONX,Bronx Property Management Department,"0580",Parkside,Caretaker
384372,1395510,BRONX,Bronx Property Management Department,"0231",Webster-Morrisania Houses,Caretaker
384371,1859157,QUEENS,Queens-SI Property Mgmt Dept,"0374",QN/SI Neighborhood 01,Plumber's Helper
384374,1614090,MANHATTAN,Manhattan Property Management Department,"0531",Smith Houses,Maintenance Worker
384380,1860944,BRONX,Bronx Property Management Department,"0249",Mitchel Houses,Maintenance Worker
384381,1053597,BRONX,Bronx Property Management Department,"0570",Mill Brook Houses,Caretaker
384382,1015792,QUEENS,Queens-SI Property Mgmt Dept,"0843",Queensbridge South,Caretaker
384387,1739474,MANHATTAN,Manhattan Property Management Department,"0518",King Towers Consolidation,Caretaker
384388,1223849,BRONX,Bronx Property Management Department,"0638",Marble Hill Houses,Caretaker
384389,564752,MANHATTAN,Manhattan Property Management Department,"0530",Amsterdam-Harborview Terrace,Caretaker
384417,1863644,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,Caretaker
384392,1568954,MANHATTAN,Manhattan Property Management Department,"0221",LaGuardia Houses,Caretaker
384393,1862660,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,Painter
384412,1709286,MANHATTAN,Manhattan Property Management Department,"0516",Johnson,Caretaker
384419,1864057,QUEENS,Queens-SI Property Mgmt Dept,"0376",QN/SI Neighborhood 02,Carpenter
384436,1154900,MANHATTAN,Manhattan Property Management Department,"0224",Wagner Houses,Caretaker
384437,1827851,BROOKLYN,Brooklyn Property Management Department,"0223",Cooper Park,Caretaker
384438,1862064,BROOKLYN,Brooklyn Property Management Department,"0426",Marlboro,Caretaker
384439,1330988,MANHATTAN,Manhattan Property Management Department,"0569",Douglass Houses,Caretaker
384440,1663297,BROOKLYN,Brooklyn Property Management Department,"0765",Park Rock Consolidated,Caretaker
384445,1155539,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,Caretaker
384441,601984,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,Caretaker
384442,1836477,BRONX,Bronx Property Management Department,"0964","1010 East 178th Street Consol",Caretaker
384489,1865532,BRONX,Bronx Property Management Department,"0523",Melrose,Caretaker
384508,1868396,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Caretaker
384512,1868075,BROOKLYN,Brooklyn Property Management Department,"0509",Whitman Houses,Maintenance Worker
384514,1868349,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,Maintenance Worker
384528,1870302,BRONX,Bronx Property Management Department,"0254",Boston Secor,Caretaker
384529,1865947,BRONX,Bronx Property Management Department,"0214",Edenwald,Caretaker
384533,1867223,MANHATTAN,Manhattan Property Management Department,"0569",Douglass Houses,Caretaker
384535,1567183,QUEENS,Queens-SI Property Mgmt Dept,"0122",Queens-Staten Island Borough Management,Plumber
384547,1869637,BROOKLYN,Brooklyn Property Management Department,"0353",Borinquen Plaza,Maintenance Worker
384550,1869631,BRONX,Bronx Property Management Department,"0533",Bronx River Houses,Maintenance Worker
384560,1744839,MANHATTAN,Manhattan Property Management Department,"0219",Jefferson Houses,Caretaker
384561,1309558,QUEENS,Queens-SI Property Mgmt Dept,"0369",Ravenswood,Caretaker
